2024-11-26 16:11:41 [INFO] Starting data collection for year: 2010
2024-11-26 16:11:42 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:11:43 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:11:44 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:11:45 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:11:46 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:11:46 [INFO] No data for KOSPI on 20100821
2024-11-26 16:11:46 [INFO] No data for KOSPI on 20100822
2024-11-26 16:11:47 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:11:48 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:11:49 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:11:50 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:11:51 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:11:51 [INFO] No data for KOSPI on 20100828
2024-11-26 16:11:51 [INFO] No data for KOSPI on 20100829
2024-11-26 16:11:53 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:11:54 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:11:57 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:11:59 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:12:00 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:12:00 [INFO] No data for KOSPI on 20100904
2024-11-26 16:12:00 [INFO] No data for KOSPI on 20100905
2024-11-26 16:12:01 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:12:03 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:12:04 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:12:05 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:12:06 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:12:06 [INFO] No data for KOSPI on 20100911
2024-11-26 16:12:06 [INFO] No data for KOSPI on 20100912
2024-11-26 16:12:07 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:12:08 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:12:09 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:12:10 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:12:11 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:12:11 [INFO] No data for KOSPI on 20100918
2024-11-26 16:12:11 [INFO] No data for KOSPI on 20100919
2024-11-26 16:12:12 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:12:12 [INFO] No data for KOSPI on 20100921
2024-11-26 16:12:12 [INFO] No data for KOSPI on 20100922
2024-11-26 16:12:12 [INFO] No data for KOSPI on 20100923
2024-11-26 16:12:13 [INFO] Saved data to MySQL table: KRX_DATA
2024-11-26 16:12:14 [INFO] No data for KOSPI on 20100925
2024-11-26 16:12:14 [INFO] No data for KOSPI on 20100926
